homeid,year_month,split,consumo_kwh,uso_horario_pico,cantidad_equipos,tipo_inmueble,horas_alto_consumo,percentile_consumo,percentile_equipos,peak_component,high_hours_component,score,categoria,month_coverage,peak_coverage,peak_energy_share,complete_day_ratio,observed_kwh,source_member,category_method_version,sample_flag
47,2016-09,test,115.546342,True,6,Departamento,1,0.10887096774193548,0.15873015873015872,1.0,0.08333333333333333,0.2857590885816692,Eficiente,0.976492,0.979708,0.323324,0.9,112.830111,sensordata/home47_hall654_sensor1216c1220_electric-mains_electric-combined.csv.gz,ideal-relative-v1,False
47,2017-04,test,138.518068,True,6,Departamento,2,0.1814516129032258,0.15873015873015872,1.0,0.16666666666666666,0.3418074756784435,Eficiente,0.95196,0.970185,0.318521,0.866667,131.863697,sensordata/home47_hall654_sensor1216c1220_electric-mains_electric-combined.csv.gz,ideal-relative-v1,False
59,2016-12,train,231.323349,True,6,Departamento,3,0.5826612903225806,0.15873015873015872,1.0,0.25,0.5950332821300562,Moderado,0.970856,0.959267,0.260351,0.83871,224.5816,sensordata/home59_hall687_sensor1506c1508_electric-mains_electric-combined.csv.gz,ideal-relative-v1,False
59,2017-01,train,222.896912,True,6,Departamento,3,0.5625,0.15873015873015872,1.0,0.25,0.5829365079365079,Moderado,0.949347,0.960076,0.307836,0.83871,211.606514,sensordata/home59_hall687_sensor1506c1508_electric-mains_electric-combined.csv.gz,ideal-relative-v1,False
59,2017-02,train,190.494564,True,6,Departamento,3,0.42943548387096775,0.15873015873015872,1.0,0.25,0.5030977982590885,Moderado,0.958817,0.981741,0.312835,0.928571,182.649498,sensordata/home59_hall687_sensor1506c1508_electric-mains_electric-combined.csv.gz,ideal-relative-v1,False
59,2017-03,train,204.324798,True,6,Departamento,3,0.5060483870967742,0.15873015873015872,1.0,0.25,0.5490655401945724,Moderado,0.96579,0.980099,0.297061,0.935484,197.334916,sensordata/home59_hall687_sensor1506c1508_electric-mains_electric-combined.csv.gz,ideal-relative-v1,False
59,2017-04,train,178.796672,True,6,Departamento,2,0.3649193548387097,0.15873015873015872,1.0,0.16666666666666666,0.45188812083973373,Moderado,0.98769,0.992148,0.272527,1.0,176.595721,sensordata/home59_hall687_sensor1506c1508_electric-mains_electric-combined.csv.gz,ideal-relative-v1,False
59,2017-08,train,198.474323,True,6,Departamento,2,0.46169354838709675,0.15873015873015872,1.0,0.16666666666666666,0.5099526369687659,Moderado,0.989455,0.97778,0.288057,0.967742,196.381465,sensordata/home59_hall687_sensor1506c1508_electric-mains_electric-combined.csv.gz,ideal-relative-v1,False
59,2017-09,train,181.676059,True,6,Departamento,2,0.37701612903225806,0.15873015873015872,1.0,0.16666666666666666,0.4591461853558628,Moderado,0.989882,0.991176,0.302189,1.0,179.83778,sensordata/home59_hall687_sensor1506c1508_electric-mains_electric-combined.csv.gz,ideal-relative-v1,False
61,2016-12,train,210.051136,True,8,Casa,3,0.1885245901639344,0.15,1.0,0.25,0.35811475409836063,Eficiente,0.967163,0.974516,0.298919,0.903226,203.153657,sensordata/home61_hall693_sensor1563c1569_electric-mains_electric-combined.csv.gz,ideal-relative-v1,False
61,2017-01,train,206.793583,True,8,Casa,3,0.1830601092896175,0.15,1.0,0.25,0.3548360655737705,Eficiente,0.929748,0.955952,0.340608,0.903226,192.265917,sensordata/home61_hall693_sensor1563c1569_electric-mains_electric-combined.csv.gz,ideal-relative-v1,False
61,2017-04,train,148.871679,True,8,Casa,2,0.05191256830601093,0.15,1.0,0.16666666666666666,0.2636475409836066,Eficiente,0.92166,0.92819,0.304905,0.866667,137.209087,sensordata/home61_hall693_sensor1563c1569_electric-mains_electric-combined.csv.gz,ideal-relative-v1,False
61,2017-05,train,140.883011,True,8,Casa,1,0.03551912568306011,0.15,1.0,0.08333333333333333,0.2413114754098361,Eficiente,0.963752,0.97987,0.316209,0.967742,135.776317,sensordata/home61_hall693_sensor1563c1569_electric-mains_electric-combined.csv.gz,ideal-relative-v1,False
61,2017-06,train,112.726116,False,8,Casa,1,0.00819672131147541,0.15,0.0,0.08333333333333333,0.024918032786885244,Eficiente,0.925596,0.938174,0.187483,0.9,104.33885,sensordata/home61_hall693_sensor1563c1569_electric-mains_electric-combined.csv.gz,ideal-relative-v1,False
61,2017-07,train,176.065091,True,8,Casa,2,0.10655737704918032,0.15,1.0,0.16666666666666666,0.2964344262295082,Eficiente,0.972949,0.972043,0.283229,1.0,171.302314,sensordata/home61_hall693_sensor1563c1569_electric-mains_electric-combined.csv.gz,ideal-relative-v1,False
62,2016-09,train,148.071899,False,8,Departamento,2,0.2318548387096774,0.38095238095238093,0.0,0.16666666666666666,0.1831605222734255,Eficiente,0.976543,0.983345,0.247048,0.966667,144.598551,sensordata/home62_hall705_sensor1662c1666_electric-mains_electric-combined.csv.gz,ideal-relative-v1,False
62,2016-10,train,187.215108,False,8,Departamento,2,0.40524193548387094,0.38095238095238093,0.0,0.16666666666666666,0.2871927803379416,Eficiente,0.942797,0.980361,0.218615,0.903226,176.505874,sensordata/home62_hall705_sensor1662c1666_electric-mains_electric-combined.csv.gz,ideal-relative-v1,False
62,2016-11,train,152.826099,False,8,Departamento,2,0.25201612903225806,0.38095238095238093,0.0,0.16666666666666666,0.19525729646697387,Eficiente,0.948635,0.955512,0.217389,0.9,144.976191,sensordata/home62_hall705_sensor1662c1666_electric-mains_electric-combined.csv.gz,ideal-relative-v1,False
